batch_id,id,meta.code_1,meta.code_2,meta.code_3,meta.code_4,meta.code_5,meta.code_6,meta.code_7,meta.code_8,meta.code_9,meta.code_10,meta.code_11,meta.code_12,meta.code_13,meta.code_14,label,description
0605,Screen Shot 2017-10-06 at 8.19.18 PM.png,Art: miscellaneous (11) ,Carceral Imagery: Police Imagery ,Carceral Imagery: Police Imagery : Car ,Elements: Earth ,Elements: Earth: Growth ,Geography: Minneapolis,,,,,,,,,Screen Shot 2017-10-06 at 8.19.18 PM.png,
0606,Screen Shot 2017-10-16 at 9.04.24 AM.png,Community: miscellaneous (3) ,Community: Organizations,,,,,,,,,,,,,Screen Shot 2017-10-16 at 9.04.24 AM.png,
0607,Screen Shot 2017-10-24 at 2.31.37 PM.png,Community: miscellaneous (3) ,Community: Organizations ,Community: Safety,,,,,,,,,,,,Screen Shot 2017-10-24 at 2.31.37 PM.png,
0608,Screen Shot 2017-10-28 at 9.44.10 AM.png,Archival/Era: miscellaneous (9) ,Carceral Imagery: Barb Wire/Fences/Walls ,Carceral Imagery: miscellaneous (5),,,,,,,,,,,,Screen Shot 2017-10-28 at 9.44.10 AM.png,
0609,Screen Shot 2017-10-28 at 9.46.27 AM.png,,,,,,,,,,,,,,,Screen Shot 2017-10-28 at 9.46.27 AM.png,
0610,Screen Shot 2019-12-31 at 3.49.14 PM.png,Community: miscellaneous (3) ,Community: Safety ,Infrastructure/Needs: miscellaneous (10) ,World-building: miscellaneous (6),,,,,,,,,,,Screen Shot 2019-12-31 at 3.49.14 PM.png,"Community: miscellaneous (3) , Community: Safety , Infrastructure/Needs: miscellaneous (10) , World-building: miscellaneous (6)"
0611,Screen Shot 2019-12-31 at 3.49.29 PM.png,Community: miscellaneous (3) ,Community: Safety ,Infrastructure/Needs: miscellaneous (10) ,World-building: miscellaneous (6),,,,,,,,,,,Screen Shot 2019-12-31 at 3.49.29 PM.png,"Community: miscellaneous (3) , Community: Safety , Infrastructure/Needs: miscellaneous (10) , World-building: miscellaneous (6)"
0612,Screen Shot 2019-12-31 at 3.49.49 PM.png,Community: miscellaneous (3) ,Community: Safety ,Infrastructure/Needs: miscellaneous (10) ,World-building: miscellaneous (6),,,,,,,,,,,Screen Shot 2019-12-31 at 3.49.49 PM.png,"Community: miscellaneous (3) , Community: Safety , Infrastructure/Needs: miscellaneous (10) , World-building: miscellaneous (6)"
0613,Screen Shot 2019-12-31 at 3.50.02 PM.png,Community: miscellaneous (3) ,Community: Safety ,Infrastructure/Needs: miscellaneous (10) ,World-building: miscellaneous (6),,,,,,,,,,,Screen Shot 2019-12-31 at 3.50.02 PM.png,"Community: miscellaneous (3) , Community: Safety , Infrastructure/Needs: miscellaneous (10) , World-building: miscellaneous (6)"
0614,Screen Shot 2020-01-13 at 6.00.30 AM.png,Community: Accountability ,Community: miscellaneous (3) ,Community: Organizations ,Community: Safety ,RJ/TJ,,,,,,,,,,Screen Shot 2020-01-13 at 6.00.30 AM.png,"Community: Accountability , Community: miscellaneous (3) , Community: Organizations , Community: Safety , RJ/TJ"
0615,Screen Shot 2020-01-24 at 12.49.25 PM.png,Art: Artisits ,Art: Artisits: Ricardo Levins Morales ,Art: miscellaneous (11) ,Art: Posters ,Relationships: Mamas and Motherhood ,Slogans: BLM ,Slogans: BLM: Trayvon Martin,,,,,,,,Screen Shot 2020-01-24 at 12.49.25 PM.png,"Art: Artisits , Art: Artisits: Ricardo Levins Morales , Art: miscellaneous (11) , Art: Posters , Relationships: Mamas and Motherhood , Slogans: BLM , Slogans: BLM: Trayvon Martin"
